zone,forecaster,lead,bin,n,p_mean,o_freq
ai_east,pnt_persistence,3,5,1,0.5,1.0
ai_east,pnt_persistence,3,6,3,0.6584748724400643,0.0
ai_east,pnt_persistence,3,7,4,0.7620334766266406,0.0
ai_east,pnt_persistence,3,8,9,0.8603453707486167,0.2222222222222222
ai_east,pnt_persistence,3,9,51,0.9652696634518021,0.5098039215686274
ai_east,climatology,6,0,115,0.0919287108045897,0.22608695652173913
ai_east,climatology,6,1,175,0.11453200386857361,0.2
ai_east,damped_persistence,6,0,132,0.09193468933677564,0.15151515151515152
ai_east,damped_persistence,6,1,150,0.12276368830646509,0.24
ai_east,damped_persistence,6,2,5,0.26178142952547606,0.8
