zone,forecaster,lead,stratum,n,brier,reliability,resolution,uncertainty,base_rate,bss_clim,bss_pers,sedi_climrate,sedi_p50,auc
ai_east,climatology,3,pre2014,142,0.04441560857273658,0.004327917162047757,0.0001374204162681929,0.040468161079150966,0.04225352112676056,0.0,0.41415672326211916,-0.0,-0.0,0.6544117647058825
ai_east,damped_persistence,3,pre2014,142,0.043902923646390875,0.003486385758324495,0.0009085187909311617,0.040468161079150966,0.04225352112676056,0.011542899958380981,0.4209190535967947,-0.0,-0.0,0.6182598039215685
ai_east,persistence,3,pre2014,142,0.07581483023933226,0.03569356073178041,0.002033152198889923,0.040468161079150966,0.04225352112676056,-0.7069411559491567,0.0,-0.0,-0.6728279664040331,0.553921568627451
ai_east,pnt_persistence,3,pre2014,142,0.09062106718698686,0.050246569389468275,0.0006568159441205965,0.040468161079150966,0.04225352112676056,-1.0402977714148074,-0.19529473192664626,-0.0,-0.6728279664040331,0.5159313725490197
ai_east,climatology,3,post2014,151,0.30138269290023967,0.07398568365834818,0.0043857803716117446,0.2315687908425069,0.36423841059602646,0.0,0.014043956289058634,-0.0,-0.0,0.38749999999999996
ai_east,damped_persistence,3,post2014,151,0.2935410480366333,0.08223989951047062,0.020436655869312332,0.2315687908425069,0.36423841059602646,0.02601889573732774,0.03969744379196172,0.20472500718557204,0.11756085829922047,0.5971590909090909
ai_east,persistence,3,post2014,151,0.3056755874895756,0.10850530899065512,0.03653671464729295,0.2315687908425069,0.36423841059602646,-0.014243998379684264,0.0,0.32647030982432945,0.31708767074336824,0.6139204545454545
ai_east,pnt_persistence,3,post2014,151,0.3208444941915755,0.11646339932108263,0.026281598702957924,0.2315687908425069,0.36423841059602646,-0.06457504611181464,-0.04962420069779783,0.3310484682414587,0.3066690758871745,0.6483901515151516
ai_east,climatology,6,all,290,0.17806010767437522,0.011545366297500399,0.00016284960967791952,0.1660998810939358,0.2103448275862069,0.0,0.06055201318897674,-0.0,-0.0,0.4798840289211826
ai_east,damped_persistence,6,all,290,0.17297019614369244,0.018563307511063543,0.010480236370842793,0.1660998810939358,0.2103448275862069,0.02858535579452126,0.08740646814241648,0.27482896808862906,0.07181212453667128,0.6327224568687808
