zone,forecaster,lead,stratum,n_at_risk,n_onset,onset_rate,onset_auc,pod,pofd,far,sedi
ai_central,lim_k10,3,post2014,78,25,0.32051282051282054,0.5569811320754716,0.8,0.8113207547169812,0.6825396825396826,0.01278865475103417
ai_central,lim_k10,6,all,203,35,0.1724137931034483,0.6355442176870749,0.4857142857142857,0.2976190476190476,0.746268656716418,0.3102023195656347
ai_central,lim_k10,6,pre2014,125,10,0.08,0.5295652173913044,0.0,0.0782608695652174,1.0,0.05340125719673763
ai_central,lim_k10,6,post2014,78,25,0.32051282051282054,0.44301886792452827,0.68,0.7735849056603774,0.7068965517241379,-0.14535178197284868
ai_central,lim_k12,1,all,208,35,0.16826923076923078,0.7338563170933113,0.6,0.1791907514450867,0.5961538461538461,0.576366949931652
ai_central,lim_k12,1,pre2014,130,10,0.07692307692307693,0.7033333333333334,0.3,0.08333333333333333,0.7692307692307693,0.37521421238487024
ai_central,lim_k12,1,post2014,78,25,0.32051282051282054,0.6822641509433962,0.72,0.39622641509433965,0.5384615384615384,0.45045096076714014
ai_central,lim_k12,2,all,207,35,0.16908212560386474,0.6143687707641196,0.5714285714285714,0.3488372093023256,0.75,0.30759634210277936
ai_central,lim_k12,2,pre2014,129,10,0.07751937984496124,0.4756302521008403,0.1,0.20168067226890757,0.96,-0.19398930456701424
ai_central,lim_k12,2,post2014,78,25,0.32051282051282054,0.5252830188679245,0.76,0.6792452830188679,0.6545454545454545,0.12475144896024389
ai_central,lim_k12,3,all,206,35,0.16990291262135923,0.6649958228905597,0.6571428571428571,0.34502923976608185,0.7195121951219512,0.4337570668471635
ai_central,lim_k12,3,pre2014,128,10,0.078125,0.34661016949152545,0.1,0.13559322033898305,0.9411764705882353,-0.07575992411990559
ai_central,lim_k12,3,post2014,78,25,0.32051282051282054,0.570566037735849,0.88,0.8113207547169812,0.6615384615384615,0.12941300903491149
ai_central,lim_k12,6,all,203,35,0.1724137931034483,0.6468537414965987,0.5428571428571428,0.32142857142857145,0.7397260273972602,0.2985070091411522
ai_central,lim_k12,6,pre2014,125,10,0.08,0.4843478260869565,0.0,0.09565217391304348,1.0,-0.7294542469524304
ai_central,lim_k12,6,post2014,78,25,0.32051282051282054,0.48452830188679247,0.76,0.8113207547169812,0.6935483870967742,-0.08549620835823102
ai_central,lim_k15,1,all,208,35,0.16826923076923078,0.7514450867052023,0.5428571428571428,0.13872832369942195,0.5581395348837209,0.5984925732582368
ai_central,lim_k15,1,pre2014,130,10,0.07692307692307693,0.8229166666666666,0.4,0.041666666666666664,0.5555555555555556,0.6806071117643522
ai_central,lim_k15,1,post2014,78,25,0.32051282051282054,0.6822641509433962,0.6,0.3584905660377358,0.5588235294117647,0.34084242539918636
ai_central,lim_k15,2,all,207,35,0.16908212560386474,0.6043189368770765,0.4857142857142857,0.313953488372093,0.7605633802816901,0.23953994620906705
ai_central,lim_k15,2,pre2014,129,10,0.07751937984496124,0.5054621848739496,0.0,0.16806722689075632,1.0,-0.7740096567712368
ai_central,lim_k15,2,post2014,78,25,0.32051282051282054,0.5124528301886793,0.68,0.6415094339622641,0.6666666666666666,0.05738132897968491
ai_central,lim_k15,3,all,206,35,0.16990291262135923,0.6831244778613199,0.6285714285714286,0.3391812865497076,0.725,0.40439213039224176
ai_central,lim_k15,3,pre2014,128,10,0.078125,0.4398305084745763,0.1,0.15254237288135594,0.9473684210526315,-0.10831853320595737
ai_central,lim_k15,3,post2014,78,25,0.32051282051282054,0.5883018867924528,0.84,0.7547169811320755,0.6557377049180327,0.14465155421094306
ai_central,lim_k15,6,all,203,35,0.1724137931034483,0.70578231292517,0.5714285714285714,0.2619047619047619,0.6875,0.46168056478092223
ai_central,lim_k15,6,pre2014,125,10,0.08,0.5156521739130435,0.0,0.034782608695652174,1.0,0.15995619494072455
ai_central,lim_k15,6,post2014,78,25,0.32051282051282054,0.5494339622641509,0.8,0.7547169811320755,0.6666666666666666,0.07454935497426043
ai_central,lim_k8,1,all,208,35,0.16826923076923078,0.716597853014038,0.6,0.2774566473988439,0.6956521739130435,0.44146392619563096
ai_central,lim_k8,1,pre2014,130,10,0.07692307692307693,0.6649999999999999,0.3,0.2,0.8888888888888888,0.15884470722593358
ai_central,lim_k8,1,post2014,78,25,0.32051282051282054,0.7026415094339623,0.72,0.4528301886792453,0.5714285714285714,0.35366090268688144
ai_central,lim_k8,2,all,207,35,0.16908212560386474,0.6107973421926911,0.5428571428571428,0.37790697674418605,0.7738095238095238,0.21947597906665892
ai_central,lim_k8,2,pre2014,129,10,0.07751937984496124,0.507563025210084,0.0,0.24369747899159663,1.0,-0.8260122251211466
